Country,C1,C2,C4,C5,C6,C7,C9,C10
Belgium,5.7,16,5.6,11.1,54.7,16.7,18.7,13.3
Bulgaria,41.1,8.9,9,19.6,31.5,11.6,15.3,20.2
Czechia,15.4,14,5.8,14.4,33.3,7.3,26.2,7.8
Denmark,10,20.1,3.4,10,51.5,14.9,17.3,7.5
Germany (until 1990 former territory of the FRG),7.8,26.1,3.7,10.9,66.7,12,15.2,13.1
Estonia,13.9,8.2,3.9,4.8,30.8,13.8,19.9,7.4
Ireland,3.2,8.2,2.8,8.8,37.6,12.5,18.2,8.8
Greece,28.7,19.7,6.4,14.1,21,12.5,17.0,16.9
Spain,5.9,14.1,3.7,11.8,34.7,14.7,15.4,11.6
France,7.7,17.3,4.8,10.4,46.3,11.5,16.8,14.7
Croatia,38.5,8.2,7.3,16,30.2,10.2,15.8,2.7
Italy,28.3,11.9,5.3,15.1,51.4,14,17.9,9.4
Cyprus,2.2,15.4,5.9,13.4,15,31.1,18.5,12.7
Latvia,42.2,13.1,6.9,12.1,41,19.3,17.2,6.1
Lithuania,22.9,13.3,6.7,11.1,49.7,14,9.4,3.2
Luxembourg,7.1,20.2,3.5,10.2,48.9,15.4,17.4,11.2
Hungary,20.3,9.7,6.2,14.4,35.9,22.3,28.4,5.3
Malta,3.7,28.3,3.2,,8.9,7.6,17.1,13.6
Netherlands,4.8,26.6,3.4,10.4,56.9,14.7,14.4,16.3
Austria,15.1,19.5,4.7,12,58.2,9.4,23.0,8.4
Poland,37.6,12.6,7.7,19.3,34.1,10.8,19.3,4.4
Portugal,9.5,22.7,6.7,9.1,28.9,24.4,11.7,6.7
Romania,45.8,18.2,9.6,16.4,11.5,9.4,21.1,9.6
Slovenia,11.6,14.5,4.9,15.3,59.2,20.6,13.4,8
Slovakia,34.1,10.5,5,13.8,38.5,5.7,26.2,5.6
Finland,7.7,12.8,3.8,5.1,43.5,4.1,16.1,6.4
Sweden,15.6,17,2.2,5.8,46.6,7,17.7,13
Iceland,10.4,11.1,1.7,5.9,0,19.1,11.2,2.8
Norway,6.1,11.3,2,6.5,40.9,6.5,10.9,4
Switzerland,6.4,18.5,2.2,9.2,53,10.5,26.1,7.1
United Kingdom,4.8,19.8,2.8,10.2,44.1,17.6,12.6,24.2
