Ai,Economic,Environmental,Social,Economic,Environmental,Social
$A_{1}$,0.5088839131659015,0.643950774224852,0.5608872246026019,14,6,17
$A_{2}$,0.2943012895065523,0.421031167394016,0.2674531252814047,25,23,26
$A_{3}$,0.5731952421185387,0.519165208926869,0.7414056419489267,7,21,3
$A_{4}$,0.5540949510685992,0.6183406797899533,0.6625165449865417,10,9,9
$A_{5}$,0.5609981842620503,0.5702374937728615,0.5504960858544842,9,15,18
$A_{6}$,0.596179005221265,0.7822279671391782,0.7403383997857723,6,2,4
$A_{7}$,0.63305680069833,0.6351645569518338,0.7071998385176997,3,7,6
$A_{8}$,0.40885473006869144,0.42024325330374146,0.35996681411398845,21,24,24
$A_{9}$,0.5497218812525341,0.5693792776520198,0.5415719263896561,11,16,19
$A_{10}$,0.5965577676761227,0.6285075108542144,0.4876071677478681,5,8,22
$A_{11}$,0.3396977775369435,0.4369863029086152,0.6025345427554666,24,22,12
$A_{12}$,0.4174497745892628,0.5720067926401914,0.6309792311027576,20,14,11
$A_{13}$,0.20559874526619373,0.6602778797897424,0.6404891072093187,26,5,10
$A_{14}$,0.4938352212672741,0.6676703771327952,0.5623152450842709,16,4,16
$A_{15}$,0.5347888131733047,0.589862752773409,0.6748028487277078,13,13,8
$A_{16}$,0.604992388498837,0.5927217298777167,0.7396961114453363,4,12,5
$A_{17}$,0.5391984982773447,0.5645702623987969,0.4717513804159934,12,17,23
$A_{18}$,0.5695361642925508,0.5974576042849753,0.7492938471975447,8,11,2
$A_{19}$,0.36500915211360946,0.39580100641003674,0.5987958966076903,23,25,14
$A_{20}$,0.4482685790277649,0.5369169081741437,0.5042115831416609,19,20,21
$A_{21}$,0.3660412930562619,0.19283351498092713,0.5055795143880941,22,26,20
$A_{22}$,0.47343461376266993,0.5420474613101217,0.5924523090641163,17,19,15
$A_{23}$,0.46716991221916043,0.5637012857341576,0.8055940201227232,18,18,1
$A_{24}$,0.927901027999045,0.7966308288571681,0.6750046116607085,1,1,7
$A_{25}$,0.7797937133000797,0.7489182831499874,0.6008740304710914,2,3,13
$A_{26}$,0.4953361143609284,0.6052622257939626,0.3420838629643885,15,10,25
