Ai,Country,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019
$A_{1}$,Belgium,0.5366,0.5643,0.5642,0.5670,0.5565,13,10,9,9,11
$A_{2}$,Bulgaria,0.3361,0.3419,0.3447,0.3527,0.3603,25,25,25,25,25
$A_{3}$,Czechia,0.5135,0.5324,0.5534,0.5562,0.5726,14,15,12,13,7
$A_{4}$,Denmark,0.6416,0.6341,0.6333,0.6363,0.6066,4,4,4,5,5
$A_{5}$,Germany,0.5601,0.5643,0.5536,0.5566,0.5481,10,9,11,12,12
$A_{6}$,Estonia,0.6558,0.6554,0.6767,0.6652,0.6807,3,3,3,3,3
$A_{7}$,Ireland,0.6181,0.6261,0.6318,0.6407,0.6331,5,5,5,4,4
$A_{8}$,Greece,0.4284,0.4263,0.4320,0.4557,0.4194,20,21,22,21,24
$A_{9}$,Spain,0.5659,0.5779,0.5818,0.5683,0.5601,8,7,7,8,10
$A_{10}$,France,0.5627,0.5582,0.5737,0.5703,0.5649,9,11,8,7,9
$A_{11}$,Croatia,0.3741,0.3839,0.4013,0.4172,0.4347,23,24,24,24,23
$A_{12}$,Italy,0.3673,0.4076,0.4438,0.4926,0.4755,24,23,21,19,20
$A_{13}$,Latvia,0.4200,0.4362,0.4528,0.4388,0.4913,21,20,19,22,19
$A_{14}$,Lithuania,0.4659,0.5348,0.5247,0.5569,0.5248,15,14,15,11,16
$A_{15}$,Luxembourg,0.5474,0.5429,0.5430,0.5578,0.5702,12,13,14,10,8
$A_{16}$,Hungary,0.4294,0.4399,0.4467,0.5554,0.5461,19,19,20,14,13
$A_{17}$,Netherlands,0.5522,0.5560,0.5528,0.5419,0.5267,11,12,13,15,15
$A_{18}$,Austria,0.5867,0.6053,0.5952,0.6230,0.6063,6,6,6,6,6
$A_{19}$,Poland,0.4124,0.4114,0.4222,0.4316,0.4395,22,22,23,23,22
$A_{20}$,Portugal,0.4615,0.4748,0.4584,0.4701,0.4614,16,17,18,20,21
$A_{21}$,Romania,0.2643,0.2638,0.2870,0.3102,0.3285,26,26,26,26,26
$A_{22}$,Slovenia,0.4546,0.4744,0.5012,0.5211,0.5075,17,18,16,18,18
$A_{23}$,Slovakia,0.4443,0.4766,0.4852,0.5402,0.5423,18,16,17,16,14
$A_{24}$,Finland,0.7311,0.7553,0.7522,0.7439,0.7553,2,1,1,1,1
$A_{25}$,Sweden,0.7579,0.7220,0.7228,0.7001,0.7090,1,2,2,2,2
$A_{26}$,United Kingdom,0.5847,0.5737,0.5594,0.5371,0.5130,7,8,10,17,17
