,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,0.5641857851829408,0.5411169759265477,0.7214913718093233
1,$A_{2}$,0.34472529972084887,0.8511024481199361,0.06261268298917134
2,$A_{3}$,0.5533702290819121,0.5249067064535486,0.6743651639898365
3,$A_{4}$,0.633293404586942,0.2861822467962862,0.8711757605175605
4,$A_{5}$,0.5535868387019683,0.5480965372314559,0.688530561532755
5,$A_{6}$,0.6766931493205064,0.20436191401940276,0.9321697553402557
6,$A_{7}$,0.6317609770440628,0.31598500558197573,0.8868324391729657
7,$A_{8}$,0.4319578691302663,0.6561456328435196,0.2548298770118134
8,$A_{9}$,0.5818166411400991,0.5192601897271698,0.7764192643047586
9,$A_{10}$,0.5737492677297075,0.44013558632699923,0.7442000337726794
10,$A_{11}$,0.4013075972004496,0.7355249826376016,0.15542721972875603
11,$A_{12}$,0.4437973631802708,0.6995053585453227,0.2964076926830505
12,$A_{13}$,0.45283241569722016,0.7106670953167278,0.31136525893568207
13,$A_{14}$,0.5247398454077952,0.46150279154053075,0.5608926289746753
14,$A_{15}$,0.5430186846246675,0.5854595698707556,0.636575466608924
15,$A_{16}$,0.44666821954644104,0.6852240985827408,0.2803132031114513
16,$A_{17}$,0.5527668136009543,0.582862701096105,0.6841272119121667
17,$A_{18}$,0.5952245427319116,0.4524260078324127,0.8060801371799127
18,$A_{19}$,0.4222241166718318,0.7088586125672542,0.2172581050826124
19,$A_{20}$,0.4583700454738043,0.6510263529373443,0.3106391886646478
20,$A_{21}$,0.28702202316862385,1.0,0.019478391786193337
21,$A_{22}$,0.5012160632224956,0.5969920348977145,0.4766012760479837
22,$A_{23}$,0.48519015140045196,0.6167637920136025,0.42714937959492183
23,$A_{24}$,0.7521568413138974,0.025268548613459136,0.9911875591518233
24,$A_{25}$,0.7228016035047607,0.034561042769287224,0.9738513043872216
25,$A_{26}$,0.559438334767445,0.5984172505684946,0.7093196834289844
