,Ai,TOPSIS,TOPSIS dir,VIKOR,VIKOR dir,COMET,COMET dir
0,$A_{1}$,0.07692307692307693,1,0.058064516129032254,-1,0.07692307692307693,1
1,$A_{2}$,0.0,0,0.0,0,0.0,0
2,$A_{3}$,0.1180327868852459,1,0.05384615384615385,1,0.0967741935483871,1
3,$A_{4}$,0.05454545454545454,-1,0.0380952380952381,-1,0.064,-1
4,$A_{5}$,0.05925925925925926,-1,0.08135593220338982,-1,0.0627450980392157,-1
5,$A_{6}$,0.0,0,0.0,0,0.0,0
6,$A_{7}$,0.05217391304347827,1,0.03333333333333333,1,0.0380952380952381,1
7,$A_{8}$,0.03333333333333334,-1,0.017204301075268814,0,0.03333333333333334,-1
8,$A_{9}$,0.07,-1,0.09056603773584906,-1,0.07179487179487179,-1
9,$A_{10}$,0.08181818181818183,0,0.058823529411764705,-1,0.08510638297872342,1
10,$A_{11}$,0.010169491525423728,0,0.0067226890756302525,0,0.0067226890756302525,1
11,$A_{12}$,0.048598130841121495,1,0.01834862385321101,1,0.038461538461538464,1
12,$A_{13}$,0.031683168316831684,1,0.021052631578947368,-1,0.0404040404040404,1
13,$A_{14}$,0.061971830985915494,-1,0.10476190476190478,-1,0.032432432432432434,-1
14,$A_{15}$,0.10526315789473684,1,0.04000000000000001,1,0.08813559322033898,1
15,$A_{16}$,0.08941176470588236,1,0.2,1,0.12857142857142856,1
16,$A_{17}$,0.06666666666666667,-1,0.06753246753246753,-1,0.07500000000000001,-1
17,$A_{18}$,0.0,0,0.03636363636363636,1,0.05333333333333333,1
18,$A_{19}$,0.010714285714285714,0,0.011111111111111112,1,0.010619469026548672,0
19,$A_{20}$,0.05652173913043479,-1,0.017777777777777778,-1,0.05106382978723405,-1
20,$A_{21}$,0.0,0,0.0,0,0.0,0
21,$A_{22}$,0.02298850574712644,-1,0.03414634146341464,1,0.023255813953488372,-1
22,$A_{23}$,0.04444444444444444,1,0.14054054054054055,1,0.043902439024390255,1
23,$A_{24}$,0.13333333333333333,1,0.17142857142857143,0,0.13333333333333333,1
24,$A_{25}$,0.08888888888888889,-1,0.15,0,0.08888888888888889,-1
25,$A_{26}$,0.1966101694915254,-1,0.10243902439024391,-1,0.21052631578947367,-1
