,$A_{1}$,TOPSIS,$A_{1} dir$,$A_{2}$,VIKOR,$A_{2} dir$,$A_{3}$,COMET,$A_{3} dir$
0,$A_{16}$,0.05927294454148352,$\uparrow$,$A_{24}$,0.36437925615505495,$\uparrow$,$A_{21}$,0.23748323067975177,$\uparrow$
1,$A_{12}$,0.05824769770034689,$\uparrow$,$A_{25}$,0.2729315628192033,$\downarrow$,$A_{16}$,0.23300981381064995,$\uparrow$
2,$A_{21}$,0.04823990607042729,$\uparrow$,$A_{6}$,0.11627283046125272,$\uparrow$,$A_{12}$,0.21834581424202962,$\uparrow$
3,$A_{23}$,0.04172445962606154,$\uparrow$,$A_{16}$,0.09702056813846208,$\uparrow$,$A_{11}$,0.15970313475421943,$\uparrow$
4,$A_{11}$,0.030753092806300106,$\uparrow$,$A_{23}$,0.060320913788414476,$\uparrow$,$A_{23}$,0.14308089866629267,$\uparrow$
5,$A_{14}$,0.02944662254213535,$\uparrow$,$A_{4}$,0.050524525092146305,$\downarrow$,$A_{13}$,0.11844010486912465,$\uparrow$
6,$A_{13}$,0.02844170652609622,$\uparrow$,$A_{14}$,0.045691686300908786,$\downarrow$,$A_{22}$,0.09520683346522664,$\uparrow$
7,$A_{22}$,0.026994696743130518,$\uparrow$,$A_{12}$,0.0419698515244248,$\uparrow$,$A_{14}$,0.09182524101699172,$\uparrow$
8,$A_{26}$,0.026029675058551045,$\downarrow$,$A_{18}$,0.03943869335173683,$\uparrow$,$A_{26}$,0.08413743102801798,$\downarrow$
9,$A_{3}$,0.020844926645233186,$\uparrow$,$A_{7}$,0.032418334746038995,$\downarrow$,$A_{2}$,0.06918789823098921,$\uparrow$
10,$A_{8}$,0.014481765915638758,$\downarrow$,$A_{26}$,0.032133473462953255,$\downarrow$,$A_{8}$,0.0632399512535785,$\downarrow$
11,$A_{25}$,0.014344140366383352,$\downarrow$,$A_{22}$,0.031148244773950656,$\uparrow$,$A_{3}$,0.05497094112969644,$\uparrow$
12,$A_{19}$,0.014258767230420412,$\uparrow$,$A_{3}$,0.027857546636517815,$\uparrow$,$A_{19}$,0.05222059917647996,$\uparrow$
13,$A_{2}$,0.013650805389587751,$\uparrow$,$A_{1}$,0.026544021024967154,$\uparrow$,$A_{17}$,0.04003910729917859,$\downarrow$
14,$A_{18}$,0.011094416161649145,$\uparrow$,$A_{15}$,0.026071051705944398,$\uparrow$,$A_{20}$,0.035832755668594944,$\downarrow$
15,$A_{17}$,0.010178338670179398,$\downarrow$,$A_{8}$,0.025509443339960258,$\uparrow$,$A_{1}$,0.026325962654359603,$\uparrow$
16,$A_{15}$,0.010041222509057892,$\uparrow$,$A_{17}$,0.023485380116959043,$\downarrow$,$A_{15}$,0.025030273866280893,$\uparrow$
17,$A_{1}$,0.009816267112306182,$\uparrow$,$A_{11}$,0.023118423161155918,$\uparrow$,$A_{5}$,0.021866022015630694,$\downarrow$
18,$A_{4}$,0.009274197532560109,$\downarrow$,$A_{5}$,0.02255539143279173,$\downarrow$,$A_{9}$,0.02178745216423545,$\downarrow$
19,$A_{6}$,0.00857704511236512,$\uparrow$,$A_{9}$,0.022274792535015582,$\downarrow$,$A_{4}$,0.01706317758850842,$\downarrow$
20,$A_{9}$,0.007765150957514231,$\downarrow$,$A_{13}$,0.021671809412615012,$\downarrow$,$A_{18}$,0.01574066163105814,$\uparrow$
21,$A_{20}$,0.007143168992637814,$\downarrow$,$A_{20}$,0.020386022454900996,$\uparrow$,$A_{10}$,0.012180729951393994,$\downarrow$
22,$A_{7}$,0.006633635133874547,$\uparrow$,$A_{10}$,0.020043454644215093,$\downarrow$,$A_{6}$,0.008566155887965901,$\uparrow$
23,$A_{24}$,0.006392135346269534,$\uparrow$,$A_{2}$,0.01150350312440825,$\downarrow$,$A_{7}$,0.007605872358820197,$\uparrow$
24,$A_{5}$,0.005589068355896177,$\downarrow$,$A_{19}$,0.007432549042167635,$\uparrow$,$A_{25}$,0.006615901694595372,$\downarrow$
25,$A_{10}$,0.005467067478833872,$\uparrow$,$A_{21}$,0.0,$=$,$A_{24}$,0.0010779320178273925,$\uparrow$
