Ai,Economic,Economic dir,Environmental,Environmental dir,Social,Social dir
$A_{1}$,0.010532374834098425,-1.0,0.012726939224851975,1.0,0.04769137660260188,1.0
$A_{2}$,0.018274330493447698,-1.0,0.03967495439401606,1.0,0.06661071028140471,1.0
$A_{3}$,0.01659094211853857,1.0,0.026092776926869034,1.0,0.047876954948926596,1.0
$A_{4}$,0.011557005931400906,-1.0,0.01674080821004666,-1.0,0.010404589013458435,-1.0
$A_{5}$,0.007490312262050207,1.0,0.007225875227138492,-1.0,0.006304137854484211,1.0
$A_{6}$,0.015804857778734915,-1.0,0.007671068139178226,1.0,0.03546900178577244,1.0
$A_{7}$,0.01189469669833014,1.0,0.011248190048166237,-1.0,0.021311093517699792,1.0
$A_{8}$,0.014278148068691418,1.0,0.036153783696258567,-1.0,0.02756169988601156,-1.0
$A_{9}$,0.012688670252534034,1.0,0.01668356934798018,-1.0,0.029596131610343857,-1.0
$A_{10}$,0.004787461676122602,1.0,0.01865376985421442,1.0,0.008157713252131873,-1.0
$A_{11}$,0.018459795463056403,-1.0,0.03975855990861518,1.0,0.040012381755466626,1.0
$A_{12}$,0.06099658858926278,1.0,0.09961878464019139,1.0,0.04747403310275755,1.0
$A_{13}$,0.04931723873380625,-1.0,0.03296377178974245,1.0,0.08553362320931877,1.0
$A_{14}$,0.02224485126727408,1.0,0.04240000413279524,1.0,0.05292785108427087,1.0
$A_{15}$,0.013030372173304682,1.0,0.04056365322659093,-1.0,0.06029511872770781,1.0
$A_{16}$,0.23862473349883698,1.0,0.06224406087771665,1.0,0.023413067445336194,1.0
$A_{17}$,0.00827707527734466,1.0,0.01079596960120316,-1.0,0.023162812584006542,-1.0
$A_{18}$,0.01820140729255084,1.0,0.011917619715024735,-1.0,0.04458776119754468,1.0
$A_{19}$,0.01821356011360943,1.0,0.019048665410036726,1.0,0.029647518607690326,1.0
$A_{20}$,0.012305220027764923,1.0,0.020911081825856347,-1.0,0.01597152614166088,1.0
$A_{21}$,0.0409632580562619,1.0,0.05428015501907288,-1.0,0.05038382238809405,1.0
$A_{22}$,0.028506559762669945,1.0,0.05549370531012168,1.0,0.03830812706411626,1.0
$A_{23}$,0.024784208219160445,1.0,0.05614801773415759,1.0,0.03726615512272309,1.0
$A_{24}$,0.005279384000955123,-1.0,0.002383758857168066,1.0,0.021219648660708496,1.0
$A_{25}$,0.011910254699920242,-1.0,0.015780170850012654,-1.0,0.02286529052890866,-1.0
$A_{26}$,0.006927762639071713,-1.0,0.023929410206037394,-1.0,0.0687629970356115,-1.0
